devenv 2019-11-10 07:57:08,434 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:08,440 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:10,415 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:10,625 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:10,625 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:10,626 INFO     camera.__init__: trackableObject is created
devenv 2019-11-10 07:57:10,627 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:10,629 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:12,965 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:12,985 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:12,992 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:12,996 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:13,000 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:14,991 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:15,036 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:15,037 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:15,255 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:15,258 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:17,597 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:17,706 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:17,708 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:17,709 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:17,712 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:20,568 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:20,586 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:20,589 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:20,655 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:20,670 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:22,718 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:22,719 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:22,720 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:22,720 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:22,722 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:24,566 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:24,567 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:24,568 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:24,568 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:24,571 INFO     camera.draw_ROIs: Drawing ROIs
devenv 2019-11-10 07:57:26,904 INFO     camera.add_centroid: centroid updated
devenv 2019-11-10 07:57:26,908 INFO     camera.add_centroid: centroid updated
